gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000227232,420.85622722899274,1.8773414024439723,0.4063935960555743,4.619515220380702,3.846376655213667e-6,3.423083315537979e-5
ENSG00000278267,8.613466417061534,2.615335720890681,0.8545569820957265,3.060457963232362,0.002209987814499368,0.007991285216287029
ENSG00000268903,18.71641153125767,5.774899273470651,0.9753198007190903,5.921031511113478,3.199285458632452e-9,6.290752478186582e-8
ENSG00000269981,12.547479933442583,5.752313043213313,1.2084716069439323,4.759990230767743,1.936023299763068e-6,1.891485674557251e-5
ENSG00000239906,3.57955692239144,3.791956422279178,1.4671741289819176,2.5845305934548093,0.009751165312668293,0.027775305142916918
ENSG00000279457,551.4843038394228,2.5326004776747335,0.3827524355630247,6.616810873977341,3.670305670498808e-11,1.0795626996901793e-9
ENSG00000250575,53.86070738188678,5.050182902178802,0.6465985809301273,7.810383522515857,5.701422741102016e-15,3.577284640472351e-13
ENSG00000225972,5794.2024670809005,2.717833648078905,0.5158509931417821,5.268640914163959,1.3743751712990514e-7,1.8581969018776347e-6
ENSG00000229344,1565.3044830795463,2.235851904425043,0.6209036126080306,3.6009645603987024,3.170387948657349e-4,0.0015438948489444482
ENSG00000230092,18.12960170064995,-2.704409015070289,0.6059129400335878,-4.463362368396316,8.068343107905604e-6,6.512044734667704e-5
ENSG00000225880,20.472268286382253,1.2586648045568452,0.4842827536470289,2.5990287597031116,0.009348794039074059,0.026840984411772635
ENSG00000188976,1669.4581939432787,2.215551535625512,0.4661518028538256,4.752854160515298,2.005650219774137e-6,1.9442972549766982e-5
ENSG00000187961,122.34440426875815,4.4720718293536885,0.6209384719338285,7.202117490684752,5.928457267100195e-13,2.5007674809801704e-11
ENSG00000187583,20.898839918053714,3.9614669851213553,0.7004397612029427,5.655685477246308,1.552254971679996e-8,2.6315621963878384e-7
ENSG00000187642,4.799924092189563,5.178610578588425,1.3523668074043211,3.829294352859816,1.285112213828943e-4,7.152177892519805e-4
ENSG00000188290,44.55208753103735,5.900808546338548,0.9147512616348548,6.450724687487777,1.1131656101361465e-10,2.9635364196503037e-9
ENSG00000187608,159.27637761765905,4.757088709338035,0.7536132183671046,6.312374296785136,2.7478663958838243e-10,6.6880818360634366e-9
ENSG00000188157,2087.4395273528485,3.499346082023452,0.46265819390293245,7.56356664193789,3.9216475028389665e-14,2.079222535900099e-12
ENSG00000217801,15.564120452714088,3.414835381725818,0.9482732426835934,3.6011090770228904,3.168625938639271e-4,0.001543401027064941
ENSG00000131591,131.75939669836742,3.6400884036235865,0.4177733067990803,8.71307080749947,2.9575178721485115e-18,3.5796019268060316e-16
ENSG00000186827,4.245152290704506,3.038250206866608,1.2194445484532257,2.491503373991381,0.012720375893066706,0.03462160510099856
ENSG00000078808,3620.7218217201935,3.373224763896044,0.49492081621652884,6.815685769054927,9.38151565044624e-12,3.127839904178151e-10
ENSG00000176022,444.54678355619643,1.4968890589242452,0.3764022186856588,3.9768337820939568,6.983894547217121e-5,4.239227385345307e-4
ENSG00000184163,2.8938922030953576,5.195531953935311,1.6950623921389525,3.065097767510028,0.0021759885292895412,0.007894636866688716
ENSG00000160087,962.1647834401801,1.500618448757045,0.343844640983426,4.364233929792083,1.2756901004241332e-5,9.688726638622705e-5
ENSG00000162572,29.098452579249745,3.3845832587637568,0.5600257520628905,6.043620755467813,1.5069349362482894e-9,3.18099570819884e-8
ENSG00000131584,259.0775411893468,3.363116290974363,0.511903931451347,6.569819226508527,5.037638344837049e-11,1.4377131971116662e-9
ENSG00000169972,129.55167673085793,4.995285463461212,0.5053625149024088,9.884558739830274,4.8571693716948674e-23,1.4269792182348734e-20
ENSG00000127054,1455.0464212569595,2.190835288027385,0.3287388118766043,6.664364562008999,2.6581290001655006e-11,8.055679295161757e-10
ENSG00000224051,360.86444769049945,2.8347003361972645,0.36710562279450015,7.721756792006654,1.1473716566174894e-14,6.725860330763367e-13
ENSG00000107404,502.8445045309107,4.309186932117375,0.5192086271621591,8.2995287571975,1.0452516676053045e-16,9.256037107602718e-15
ENSG00000175756,908.3869682182057,4.6777662704444944,0.5457695084663567,8.570955683451944,1.0262973875665511e-17,1.1094674615719443e-15
ENSG00000224870,194.3797638199896,2.0133104051563504,0.3107471482028889,6.4789344545870025,9.237261728575906e-11,2.5210152993005197e-9
ENSG00000242485,1151.4450332540416,1.7310865964651982,0.3195696366852764,5.4169307648274305,6.063080481607717e-8,8.969623565563265e-7
ENSG00000235098,5.865765579452912,3.431368332166895,1.3050322271426997,2.629336089024941,0.008555176318703443,0.0249258969817597
ENSG00000225285,3.332478463887766,5.4061626736319495,1.5724982213664873,3.437945175501719,5.861463598492585e-4,0.0026068115579974504
ENSG00000215915,27.916831057828382,4.0510086452321525,0.5388118819150878,7.518410007651905,5.544638991302496e-14,2.8489861088643196e-12
ENSG00000160072,680.4239164730036,3.1906323427017336,0.4733251610529281,6.740888939020403,1.5742050581507233e-11,5.078946862033574e-10
ENSG00000197785,813.4087642017317,4.013174393180515,0.5975445652319252,6.716108934273178,1.86641286285085e-11,5.870032998880533e-10
ENSG00000205090,27.202206860438856,4.572242172937584,0.6784950485632395,6.738799616326789,1.597004641244445e-11,5.099795383779575e-10
ENSG00000160075,1989.6416712974428,1.1189995094824716,0.2897794123671616,3.8615562794525116,1.1266705136179514e-4,6.372642370570211e-4
ENSG00000228594,13.714044255810775,6.680405598304894,1.1371673268272786,5.874602128205152,4.2386010776714896e-09,8.110831119663788e-8
